,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
774733,131350503082009,131350504463-bg_centroid,10857.705929570991,Gwinett_GA,,33.8834586,-84.193294,33.9795653,-84.2141053,,7,3,4,3,0,0,0,0,0,3,76003.94150699694,48.21671304625197,1,1.0
775324,131350503082010,131350504463-bg_centroid,10108.749502261397,Gwinett_GA,,33.8834586,-84.193294,33.9728165,-84.2134537,,339,9,330,335,169,31,0,129,0,6,3426866.0812666137,36.90556771938932,1,1.0
775915,131350503082012,131350504463-bg_centroid,10126.162911948171,Gwinett_GA,,33.8834586,-84.193294,33.9712485,-84.2224702,,27,2,25,24,21,1,0,2,0,0,273406.39862260065,37.13567950734572,1,1.0
776506,131350503111000,131350504463-bg_centroid,8416.401798487595,Gwinett_GA,,33.8834586,-84.193294,33.9579145,-84.2097009,,25,0,25,23,4,16,0,0,0,3,210410.0449621899,20.17151576206749,1,1.0
777097,131350503111001,131350504463-bg_centroid,8232.043349222178,Gwinett_GA,,33.8834586,-84.193294,33.9557209,-84.2126865,,280,18,262,262,93,100,0,65,0,4,2304972.13778221,18.8868127841093,1,1.0
777688,131350503111002,131350504463-bg_centroid,8033.668601750829,Gwinett_GA,,33.8834586,-84.193294,33.9541534,-84.2112523,,25,8,17,25,14,4,0,0,0,7,200841.71504377073,17.595676297591886,1,1.0
778279,131350503111004,131350504463-bg_centroid,7936.7892662536915,Gwinett_GA,,33.8834586,-84.193294,33.9513906,-84.2196937,,248,12,236,228,210,10,0,8,0,0,1968323.7380309154,16.997592283970143,1,1.0
778870,131350503111005,131350504463-bg_centroid,7653.614086992499,Gwinett_GA,,33.8834586,-84.193294,33.9489684,-84.2187457,,44,4,40,38,34,0,0,0,0,4,336759.01982766995,15.363446479106852,1,1.0
779461,131350503111006,131350504463-bg_centroid,7866.599220952335,Gwinett_GA,,33.8834586,-84.193294,33.9517222,-84.215679,,37,0,37,36,30,1,0,3,0,2,291064.1711752364,16.577014372595297,1,1.0
780052,131350503111008,131350504463-bg_centroid,7648.508268132794,Gwinett_GA,,33.8834586,-84.193294,33.9514646,-84.2057302,,377,25,352,357,160,65,0,120,2,10,2883487.617086063,15.335471416200697,1,1.0
780643,131350503111009,131350504463-bg_centroid,7948.48211272872,Gwinett_GA,,33.8834586,-84.193294,33.9540381,-84.2069414,,33,1,32,32,10,1,1,20,0,0,262299.9097200477,17.06868531318959,1,1.0
781234,131350503111011,131350504463-bg_centroid,7774.15409836127,Gwinett_GA,,33.8834586,-84.193294,33.9527107,-84.2048645,,40,3,37,40,5,10,0,19,0,6,310966.16393445083,16.03892159433813,1,1.0
781825,131350503111012,131350504463-bg_centroid,7452.9144119733055,Gwinett_GA,,33.8834586,-84.193294,33.948537,-84.2126207,,217,8,209,212,172,19,0,19,0,2,1617282.4273982074,14.301300173199225,1,1.0
782416,131350503111013,131350504463-bg_centroid,7120.920511892717,Gwinett_GA,,33.8834586,-84.193294,33.9451799,-84.2138706,,35,3,32,33,26,0,4,0,0,3,249232.21791624508,12.703071023020938,1,1.0
783007,131350503111014,131350504463-bg_centroid,7369.942580099739,Gwinett_GA,,33.8834586,-84.193294,33.9460124,-84.2196939,,191,23,168,169,141,9,0,6,3,10,1407659.0327990502,13.8839472049022,1,1.0
783598,131350503111015,131350504463-bg_centroid,7020.544357901284,Gwinett_GA,,33.8834586,-84.193294,33.9440236,-84.2147884,,13,0,13,13,8,5,0,0,0,0,91267.07665271669,12.255981078034198,1,1.0
784189,131350503111017,131350504463-bg_centroid,7053.437680088538,Gwinett_GA,,33.8834586,-84.193294,33.9449272,-84.212169,,57,8,49,57,35,15,0,3,0,4,402045.9477650467,12.400731770006631,1,1.0
784780,131350503111019,131350504463-bg_centroid,6834.764910981977,Gwinett_GA,,33.8834586,-84.193294,33.9423607,-84.2144642,,20,0,20,18,16,2,0,0,0,0,136695.29821963955,11.469591106264874,1,1.0
785371,131350503111020,131350504463-bg_centroid,6941.621253696568,Gwinett_GA,,33.8834586,-84.193294,33.9430793,-84.2155962,,32,0,32,18,14,0,1,3,0,0,222131.88011829017,11.91552439908259,1,1.0
785962,131350503111021,131350504463-bg_centroid,8039.705991160222,Gwinett_GA,,33.8834586,-84.193294,33.9498221,-84.227876,,12,4,8,10,6,2,0,0,0,2,96476.47189392266,17.633637147005253,1,1.0
786553,131350503112000,131350504463-bg_centroid,7869.941860554644,Gwinett_GA,,33.8834586,-84.193294,33.9542182,-84.1951294,,153,14,139,138,38,49,0,48,0,3,1204101.1046648605,16.596805371041523,1,1.0
787144,131350503112001,131350504463-bg_centroid,7765.47678338894,Gwinett_GA,,33.8834586,-84.193294,33.9532512,-84.196278,,62,6,56,56,8,17,0,27,0,4,481459.5605701143,15.989319407491003,1,1.0
787735,131350503112007,131350504463-bg_centroid,7303.140480403254,Gwinett_GA,,33.8834586,-84.193294,33.948712,-84.2022855,,42,24,18,34,14,1,1,2,0,16,306731.90017693664,13.5567962957988,1,1.0
