,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
1844191,131350505672010,131350507572-bg_centroid,3168.259253809371,Gwinett_GA,,33.9051922,-84.0311003,33.9229241,-84.0579753,,61,17,44,50,11,29,2,5,0,3,193263.8144823716,3.098518278015385,1,1.0
1844782,131350505681000,131350507572-bg_centroid,1895.6941519755192,Gwinett_GA,,33.9051922,-84.0311003,33.9217596,-84.0359455,,122,28,94,100,32,45,0,17,0,6,231274.68654101333,1.9673281114245782,1,1.0
1845373,131350505681001,131350507572-bg_centroid,1776.7382806488529,Gwinett_GA,,33.9051922,-84.0311003,33.9200587,-84.0381576,,157,27,130,133,65,57,0,3,0,8,278947.9100618699,1.8855404940908094,1,1.0
1845964,131350505681002,131350507572-bg_centroid,1490.504632656542,Gwinett_GA,,33.9051922,-84.0311003,33.9182061,-84.0349706,,15,8,7,11,1,7,0,0,0,3,22357.56948984813,1.7024053440378373,1,1.0
1846555,131350505681003,131350507572-bg_centroid,1402.17673399848,Gwinett_GA,,33.9051922,-84.0311003,33.9173695,-84.0350468,,116,14,102,105,60,32,0,10,0,3,162652.50114382367,1.6495674942339518,1,1.0
1847146,131350505681004,131350507572-bg_centroid,1468.0764291896269,Gwinett_GA,,33.9051922,-84.0311003,33.9172025,-84.0377072,,22,3,19,16,0,13,2,0,0,1,32297.68144217179,1.6888305611922048,1,1.0
1847737,131350505681005,131350507572-bg_centroid,1429.4639423686522,Gwinett_GA,,33.9051922,-84.0311003,33.9163268,-84.0388424,,35,24,11,31,1,11,0,4,0,15,50031.23798290283,1.6657132622411885,1,1.0
1848328,131350505681006,131350507572-bg_centroid,1288.9530512662614,Gwinett_GA,,33.9051922,-84.0311003,33.9131949,-84.041205,,206,80,126,177,51,54,16,21,0,35,265524.3285608498,1.5842283434223594,1,1.0
1848919,131350505681007,131350507572-bg_centroid,1127.671154223227,Gwinett_GA,,33.9051922,-84.0311003,33.9141558,-84.036816,,149,38,111,131,62,29,0,24,0,16,168023.00197926082,1.4955995442547703,1,1.0
1849510,131350505681008,131350507572-bg_centroid,932.2162786161776,Gwinett_GA,,33.9051922,-84.0311003,33.9133693,-84.0333286,,315,107,208,275,131,54,9,21,0,60,293648.12776409596,1.3948106693443643,1,1.0
1850101,131350505681009,131350507572-bg_centroid,786.9443649570014,Gwinett_GA,,33.9051922,-84.0311003,33.9106539,-84.0365232,,112,39,73,91,44,32,0,0,0,15,88137.76887518416,1.3243254547755428,1,1.0
