,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
10455,131350503061002,Lucky Shoals Park Community Recreation Center,6277.908026933163,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9268849,-84.2360792,EV_2022_2020,polling,93,75,18,65,5,4,2,5,0,49,583845.4465047842,9.402040845170724,0,1.0
10464,131350503061003,Lucky Shoals Park Community Recreation Center,6547.113990941955,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9274675,-84.2400699,EV_2022_2020,polling,39,29,10,31,7,1,0,0,0,23,255337.44564673625,10.35035713878982,0,1.0
10473,131350503061004,Lucky Shoals Park Community Recreation Center,6401.950065447055,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9254883,-84.2405681,EV_2022_2020,polling,56,48,8,49,13,0,4,0,0,32,358509.2036650351,9.827692107131062,0,1.0
10482,131350503061005,Lucky Shoals Park Community Recreation Center,6194.877951766169,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9233446,-84.2401809,EV_2022_2020,polling,87,81,6,69,6,0,1,0,0,62,538954.3818036567,9.127472555692483,0,1.0
10491,131350503061012,Lucky Shoals Park Community Recreation Center,5954.763883756337,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9223576,-84.2375259,EV_2022_2020,polling,144,116,28,120,27,0,6,5,0,82,857485.9992609125,8.377747294926676,0,1.0
10500,131350503061013,Lucky Shoals Park Community Recreation Center,5967.415384010131,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9229199,-84.2368899,EV_2022_2020,polling,142,108,34,121,37,2,9,0,0,73,847372.9845294385,8.415666830513727,0,1.0
10509,131350503061014,Lucky Shoals Park Community Recreation Center,6386.578756958149,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9260369,-84.2394593,EV_2022_2020,polling,46,34,12,44,9,1,4,0,0,30,293782.62282007484,9.773916640596454,0,1.0
10518,131350503061015,Lucky Shoals Park Community Recreation Center,6373.76154759966,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9266787,-84.2382056,EV_2022_2020,polling,43,34,9,41,12,1,1,1,0,26,274071.7465467854,9.729301555907895,0,1.0
10527,131350503061016,Lucky Shoals Park Community Recreation Center,6202.098008232337,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9257128,-84.2366465,EV_2022_2020,polling,72,46,26,69,9,7,0,7,0,46,446551.05659272824,9.151026497935995,0,1.0
10536,131350503061017,Lucky Shoals Park Community Recreation Center,5966.4178032677455,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9219807,-84.2382844,EV_2022_2020,polling,135,108,27,115,32,3,8,0,0,72,805466.4034411457,8.412670622330065,0,1.0
10545,131350503061018,Lucky Shoals Park Community Recreation Center,5930.676452095007,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9251949,-84.2323739,EV_2022_2020,polling,83,66,17,75,16,5,1,4,0,49,492246.1455238856,8.30602325396858,0,1.0
10635,131350503062031,Lucky Shoals Park Community Recreation Center,6000.980337787116,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9262807,-84.2317456,EV_2022_2020,polling,131,62,69,120,17,16,0,43,0,44,786128.4242501121,8.517102704903005,0,1.0
10644,131350503062032,Lucky Shoals Park Community Recreation Center,6100.052254651348,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.928021,-84.2303509,EV_2022_2020,polling,82,50,32,67,18,4,10,12,1,22,500204.2848814106,8.823692027973095,0,1.0
10671,131350503063011,Lucky Shoals Park Community Recreation Center,5698.763830875723,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9248597,-84.2282506,EV_2022_2020,polling,417,181,236,327,53,33,7,169,0,65,2376384.5174751766,7.6461229740460155,0,1.0
10680,131350503063012,Lucky Shoals Park Community Recreation Center,5696.554901998784,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.921832,-84.2337598,EV_2022_2020,polling,260,189,71,210,29,12,10,29,0,130,1481104.2745196838,7.640096482912588,0,1.0
10689,131350503063013,Lucky Shoals Park Community Recreation Center,5963.2364861070455,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9233196,-84.2361889,EV_2022_2020,polling,129,89,40,116,43,3,10,10,2,48,769257.5067078088,8.40312274116644,0,1.0
10698,131350503063016,Lucky Shoals Park Community Recreation Center,4909.520889297694,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9220344,-84.2154701,EV_2022_2020,polling,121,13,108,116,28,78,1,5,0,4,594052.027605021,5.768862914325822,0,1.0
13263,131350503291000,Lucky Shoals Park Community Recreation Center,4571.3445483684,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9212642,-84.2042789,EV_2022_2020,polling,1051,414,637,960,169,402,19,93,2,275,4804483.120335189,5.112872942563202,0,1.0
13272,131350503291001,Lucky Shoals Park Community Recreation Center,4660.995200879316,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9224369,-84.1998697,EV_2022_2020,polling,22,7,15,12,0,6,0,3,0,3,102541.89441934496,5.279137114757986,0,1.0
13281,131350503291002,Lucky Shoals Park Community Recreation Center,4677.961108265674,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.922519,-84.1931653,EV_2022_2020,polling,78,67,11,62,9,0,4,0,3,46,364880.96644472255,5.311204863375317,0,1.0
13290,131350503291003,Lucky Shoals Park Community Recreation Center,4728.381114723024,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9228646,-84.1917392,EV_2022_2020,polling,283,219,64,227,39,28,1,10,0,149,1338131.8554666159,5.407659401826437,0,1.0
13299,131350503291004,Lucky Shoals Park Community Recreation Center,4663.63485005561,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9223603,-84.1927405,EV_2022_2020,polling,162,127,35,142,17,13,0,3,0,109,755508.8457090087,5.284113643188207,0,1.0
13308,131350503291005,Lucky Shoals Park Community Recreation Center,4589.413334515851,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9216614,-84.1923675,EV_2022_2020,polling,90,70,20,84,6,12,3,0,0,63,413047.20010642655,5.145956179080267,0,1.0
13317,131350503291008,Lucky Shoals Park Community Recreation Center,3929.3850196080302,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9154321,-84.2041941,EV_2022_2020,polling,21,12,9,12,3,3,2,2,0,2,82517.08541176864,4.065802739391865,0,1.0
13479,131350503302000,Lucky Shoals Park Community Recreation Center,5059.597341784509,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9259752,-84.2009138,EV_2022_2020,polling,232,96,136,202,58,36,8,43,0,57,1173826.583294006,6.08633101635475,0,1.0
13488,131350503302001,Lucky Shoals Park Community Recreation Center,5003.191744454117,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9255641,-84.1983379,EV_2022_2020,polling,77,62,15,67,11,1,3,9,0,43,385245.764322967,5.965012879299445,0,1.0
13497,131350503302002,Lucky Shoals Park Community Recreation Center,5043.8076923237095,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9252446,-84.2066929,EV_2022_2020,polling,278,94,184,254,37,32,3,119,0,63,1402178.5384659912,6.052123821055472,0,1.0
13506,131350503302003,Lucky Shoals Park Community Recreation Center,4801.085713484876,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9228042,-84.208029,EV_2022_2020,polling,184,123,61,131,45,15,9,15,0,47,883399.7712812171,5.549837130153279,0,1.0
