,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
53781,131350505393004,Gas South-Hudgens Center for Arts,5785.993466037706,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9399371,-84.0869441,EV_2022,polling,190,107,83,19,47,11,22,0,46,45,1099338.758547164,55.805166477729244,0,1.0
53784,131350505393005,Gas South-Hudgens Center for Arts,5852.970908985759,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9392583,-84.0877905,EV_2022,polling,30,8,22,5,13,0,2,0,0,10,175589.12726957275,58.46467549447344,0,1.0
53787,131350505411000,Gas South-Hudgens Center for Arts,4690.385776612651,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9497244,-84.0995051,EV_2022,polling,155,70,85,19,51,1,22,0,29,33,727009.795374961,26.057491503868047,0,1.0
53790,131350505411001,Gas South-Hudgens Center for Arts,4568.488735697795,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.951056,-84.1015489,EV_2022,polling,98,24,74,10,48,0,8,0,18,14,447711.89609838394,23.940562679847147,0,1.0
53793,131350505411002,Gas South-Hudgens Center for Arts,5027.965068740509,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9477158,-84.1068074,EV_2022,polling,723,265,458,89,367,2,20,0,137,108,3635218.7446993883,32.94890345109766,0,1.0
53796,131350505411003,Gas South-Hudgens Center for Arts,4710.123448152751,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.951021,-84.1083585,EV_2022,polling,169,52,117,21,92,2,0,0,31,23,796010.8627378149,26.417456969411774,0,1.0
53799,131350505411004,Gas South-Hudgens Center for Arts,4719.956800191486,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9506414,-84.1071238,EV_2022,polling,23,10,13,3,4,2,5,0,4,5,108559.00640440418,26.598644119288092,0,1.0
53802,131350505412000,Gas South-Hudgens Center for Arts,5308.21570047323,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9470483,-84.1144293,EV_2022,polling,1072,506,566,202,332,6,47,0,273,212,5690407.230907302,40.0352885968101,0,1.0
53805,131350505413000,Gas South-Hudgens Center for Arts,4857.422743404434,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9503144,-84.1109474,EV_2022,polling,69,4,65,11,49,1,0,0,2,6,335162.16929490597,29.265617147066692,0,1.0
53808,131350505413001,Gas South-Hudgens Center for Arts,5555.06819336901,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9438122,-84.1112718,EV_2022,polling,1150,470,680,257,406,1,55,2,290,139,6388328.422374362,47.52944451056366,0,1.0
