,id_dest,H7X001
731,poll_2016_3,363
732,poll_2016_3,32
733,poll_2016_3,50
734,poll_2016_3,21
735,poll_2016_3,77
736,poll_2016_3,74
737,poll_2016_3,86
738,poll_2016_3,9
739,poll_2016_3,9
740,poll_2016_3,28
741,poll_2016_3,32
742,poll_2016_3,31
743,poll_2016_1,2
744,poll_2016_1,285
745,poll_2016_1,28
746,poll_2016_1,430
747,poll_2016_1,15
748,poll_2016_1,246
749,poll_2016_1,72
750,poll_2016_1,6
751,poll_2016_1,4
752,poll_2016_1,201
753,poll_2016_1,88
754,poll_2016_1,17
755,poll_2016_3,35
756,poll_2016_3,12
757,poll_2016_3,129
758,poll_2016_3,42
759,poll_2016_3,25
760,poll_2016_1,25
761,poll_2016_1,15
762,poll_2016_1,18
763,poll_2016_1,134
764,poll_2016_1,13
765,poll_2016_1,18
766,poll_2016_1,48
767,poll_2016_1,32
768,poll_2016_1,26
769,poll_2016_1,32
770,poll_2016_1,44
771,poll_2016_1,89
772,poll_2016_1,13
773,poll_2016_1,13
774,poll_2016_1,13
775,poll_2016_1,17
776,poll_2016_1,29
777,poll_2016_1,24
778,poll_2016_1,90
779,poll_2016_1,5
780,poll_2016_1,20
781,poll_2016_1,24
782,poll_2016_1,20
783,poll_2016_1,43
784,poll_2016_1,45
785,poll_2016_1,4
786,410470016022,3
787,poll_2016_1,149
788,poll_2016_1,80
789,poll_2016_1,97
790,poll_2016_1,31
791,410470016022,95
792,410470016042,89
793,410470016042,130
794,410470016042,69
795,410470016042,302
796,410470016042,47
797,410470016042,15
798,410470016022,513
799,410470016022,149
800,410470016022,69
801,poll_2016_1,56
802,poll_2016_1,28
803,poll_2016_1,43
804,poll_2016_1,39
805,poll_2016_1,148
806,poll_2016_1,45
807,poll_2016_1,15
808,poll_2016_1,19
809,poll_2016_1,73
810,poll_2016_1,55
811,poll_2016_1,113
812,410470016042,297
813,410470016042,274
814,410470016042,50
815,410470016042,20
816,410470016042,41
817,410470016042,12
818,410470016042,224
819,410470016042,69
820,410470016042,45
821,410470016042,91
822,poll_2016_1,472
823,poll_2016_1,214
824,poll_2016_3,13
825,poll_2016_3,57
826,poll_2016_3,35
827,poll_2016_3,42
828,poll_2016_3,33
829,poll_2016_1,44
830,poll_2016_1,33
831,poll_2016_1,26
832,poll_2016_1,27
833,poll_2016_1,49
834,poll_2016_1,80
835,poll_2016_1,58
836,poll_2016_1,7
837,poll_2016_1,7
838,poll_2016_3,73
839,poll_2016_3,49
840,poll_2016_3,11
841,poll_2016_3,6
842,poll_2016_3,12
843,poll_2016_3,43
844,poll_2016_1,37
845,poll_2016_1,46
846,poll_2016_3,1
847,poll_2016_3,1
848,poll_2016_3,44
849,poll_2016_3,75
850,poll_2016_3,68
851,poll_2016_3,36
852,poll_2016_3,155
853,poll_2016_3,57
854,poll_2016_3,16
855,poll_2016_3,134
856,poll_2016_3,28
857,poll_2016_3,30
858,poll_2016_3,21
859,poll_2016_3,28
860,poll_2016_3,10
861,poll_2016_3,32
862,poll_2016_3,26
863,poll_2016_3,8
864,poll_2016_3,15
865,poll_2016_3,23
866,poll_2016_3,17
867,410470016022,58
868,410470016022,91
869,410470016022,433
870,410470016022,61
871,410470016022,14
872,410470016042,2
873,410470016042,1
874,410470016022,272
875,410470016022,11
876,410470016022,14
877,410470016022,82
878,410470016022,182
879,410470016022,86
880,410470016022,23
881,410470016022,94
882,410470016022,77
883,410470016022,73
884,410470016022,26
885,poll_2016_1,38
886,410470016022,25
887,410470016022,36
888,410470016022,15
889,410470016022,32
890,poll_2016_1,44
891,410470016042,61
892,410470016042,29
893,410470016042,131
894,410470016042,86
895,410470016022,104
896,410470016022,35
897,410470016022,36
898,410470016022,388
899,410470016022,7
900,410470016022,245
901,410470016022,208
902,410470016022,199
903,410470016022,2
904,410470016022,74
905,410470016022,11
906,410470016022,88
907,410470016022,33
908,410470016022,19
909,410470016022,276
910,410470016022,77
911,410470016022,61
912,410470016022,40
913,410470016022,217
914,410470016022,20
915,poll_2016_6,63
916,410470016022,85
917,410470016022,117
918,410470016022,40
919,poll_2016_6,628
920,410470016022,148
921,410470016022,31
922,410470016022,1164
923,410470016022,62
924,410470016022,51
925,poll_2016_6,135
926,poll_2016_6,590
927,poll_2016_6,214
928,poll_2016_6,25
929,poll_2016_6,67
930,poll_2016_6,5
931,poll_2016_6,11
932,poll_2016_6,261
933,poll_2016_6,384
934,poll_2016_6,31
935,poll_2016_6,422
936,poll_2016_6,144
937,poll_2016_6,294
938,poll_2016_6,95
939,poll_2016_6,103
940,410470016022,55
941,410470016042,49
942,410470016042,30
943,410470016042,186
944,410470016022,8
945,410470016042,219
946,410470016042,21
947,poll_2016_6,31
948,410470016042,80
949,poll_2016_6,18
950,410470016042,97
951,410470016042,24
952,410470016042,183
953,410470016042,96
954,410470016042,16
955,410470016042,3
956,410470016042,70
957,410470016042,2
958,410470016042,25
959,poll_2016_6,77
960,poll_2016_6,40
961,poll_2016_6,19
962,poll_2016_6,153
963,poll_2016_6,6
964,410470016042,123
965,poll_2016_6,72
966,poll_2016_6,10
967,poll_2016_6,6
968,410470016042,37
969,410470016042,15
970,410470016042,415
971,410470016042,11
972,410470016042,2
973,poll_2016_6,78
974,410470016042,54
975,410470016042,83
976,410470016042,286
977,410470016042,34
978,poll_2016_6,243
979,poll_2016_6,1
980,poll_2016_6,55
981,poll_2016_6,39
982,poll_2016_6,177
983,410470016042,338
984,poll_2016_6,109
985,poll_2016_1,56
986,poll_2016_1,85
987,poll_2016_1,55
988,poll_2016_1,67
989,poll_2016_1,35
990,poll_2016_1,14
991,poll_2016_3,50
992,school_523,4
993,poll_2016_3,27
994,school_523,53
995,school_523,78
996,school_523,24
997,school_523,40
998,school_523,81
999,school_523,51
1000,school_523,17
1001,school_523,5
1002,school_523,24
1003,school_523,80
1004,school_523,14
1005,school_523,32
1006,poll_2016_3,6
1007,poll_2016_3,94
1008,school_523,153
1009,school_523,29
1010,school_523,78
1011,poll_2016_4,183
1012,school_523,189
1013,school_523,42
1014,410470021022,26
1015,poll_2016_4,26
1016,poll_2016_4,117
1017,school_523,376
1018,school_523,10
1019,poll_2016_3,20
1020,poll_2016_3,79
1021,poll_2016_3,192
1022,poll_2016_3,3
1023,poll_2016_3,76
1024,poll_2016_3,28
1025,poll_2016_4,35
1026,poll_2016_4,44
1027,poll_2016_4,73
1028,poll_2016_4,155
1029,poll_2016_4,15
1030,poll_2016_4,273
1031,poll_2016_4,25
1032,poll_2016_4,52
1033,poll_2016_4,41
1034,poll_2016_4,4
1035,poll_2016_4,1
1036,poll_2016_4,32
1037,410470021022,52
1038,poll_2016_4,68
1039,school_523,53
1040,school_523,399
1041,school_523,516
1042,410470021022,184
1043,poll_2016_4,4
1044,poll_2016_4,54
1045,school_523,11
1046,school_523,10
1047,school_523,12
1048,school_523,110
1049,school_523,45
1050,poll_2016_4,6
1051,poll_2016_4,69
1052,poll_2016_3,24
1053,poll_2016_4,340
1054,poll_2016_3,4
1055,poll_2016_4,5
1056,poll_2016_3,4
1057,poll_2016_3,48
1058,poll_2016_6,12
1059,410470016042,14
1060,410470016042,10
1061,poll_2016_6,57
1062,410470016022,1
1063,410470016042,125
1064,410470016042,34
1065,410470016022,56
1066,410470016022,37
1067,410470016022,201
1068,410470016022,18
1069,poll_2016_6,68
1070,poll_2016_6,5
1071,410470016042,21
1072,410470016042,33
1073,410470016042,91
1074,poll_2016_6,10
1075,poll_2016_6,15
1076,poll_2016_6,39
1077,school_523,3
1078,school_523,436
1079,school_523,9
1080,school_523,32
1081,school_523,12
1082,school_523,9
1083,school_523,6
1084,poll_2016_6,22
1085,poll_2016_6,295
1086,poll_2016_6,312
1087,poll_2016_6,17
1088,poll_2016_6,28
1089,school_523,14
1090,poll_2016_4,12
1091,poll_2016_4,104
1092,410470021022,48
1093,school_523,1
1094,poll_2016_4,18
1095,poll_2016_4,32
1096,poll_2016_4,8
1097,school_523,44
1098,poll_2016_1,2
1099,poll_2016_1,75
