,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
209,209,410470017033001,poll_2016_6,3825.0,86,73,0,1,0,12,328950.0
210,210,410470017033004,poll_2016_6,3908.3,635,408,9,8,25,229,2481770.5
211,211,410470017033005,poll_2016_6,3548.7,20,20,0,0,0,0,70974.0
212,212,410470017033006,poll_2016_6,4710.0,10,10,0,0,0,0,47100.0
213,213,410470017033007,poll_2016_6,3704.6,109,64,0,3,6,64,403801.39999999997
214,214,410470017033017,410470016042,4244.7,30,23,0,1,6,7,127341.0
215,215,410470018011005,410470016042,5632.8,25,23,0,0,0,0,140820.0
216,216,410470018011006,410470016042,3874.6,1,0,1,0,0,0,3874.6
217,217,410470018011009,410470016042,4786.7,19,13,0,0,0,7,90947.3
218,218,410470018011012,410470016042,4999.3,60,36,0,7,6,28,299958.0
219,219,410470018012002,410470016042,4749.9,6,6,0,0,0,0,28499.399999999998
220,220,410470018012005,410470016042,4436.7,24,14,0,1,0,9,106480.79999999999
221,221,410470018012012,410470016042,5357.8,39,34,1,0,4,0,208954.2
222,222,410470018012013,410470016042,5247.3,33,28,0,0,2,3,173160.9
223,223,410470018012022,410470016042,4981.0,99,64,0,4,5,36,493119.0
224,224,410470018012023,410470016042,5085.3,60,53,0,1,0,8,305118.0
225,225,410470018013003,410470016042,5507.4,248,167,3,2,3,69,1365835.2
226,226,410470018013018,410470016042,7454.2,3,0,3,0,0,0,22362.6
227,227,410470018014003,410470016042,4905.3,80,33,0,0,0,55,392424.0
228,228,410470018014011,410470016042,5164.6,46,34,0,0,1,13,237571.6
229,229,410470018014015,410470016042,5351.0,87,45,1,4,0,54,465537.0
230,230,410470018021034,poll_2016_6,9064.4,34,32,0,0,0,0,308189.6
231,231,410470018023005,410470016042,6392.9,64,49,0,0,1,23,409145.6
232,232,410470018024000,poll_2016_6,7778.8,465,328,13,10,7,138,3617142.0
233,233,410470018024002,poll_2016_6,7786.8,66,52,0,7,0,21,513928.8
