,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
388,131350501052024,Bogan Park Community Recreation Center,1098.771736872815,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1157936,-83.9689176,EV_2022_2020,polling,284,22,262,101,90,0,68,0,14,11,312051.17327187944,1.4802505822132963,0,1.0
397,131350501052025,Bogan Park Community Recreation Center,911.9934930667888,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1141299,-83.96841,EV_2022_2020,polling,2,1,1,0,1,0,0,0,0,1,1823.9869861335776,1.3847783257984383,0,1.0
406,131350501052026,Bogan Park Community Recreation Center,1874.709359871277,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.122631,-83.965413,EV_2022_2020,polling,21,2,19,17,0,0,0,0,0,4,39368.896557296815,1.9526466720814164,0,1.0
415,131350501052027,Bogan Park Community Recreation Center,1509.066644231232,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1192691,-83.9651805,EV_2022_2020,polling,15,3,12,9,2,0,0,0,2,2,22635.99966346848,1.7137225780720233,0,1.0
424,131350501052029,Bogan Park Community Recreation Center,655.6901191770596,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.110036,-83.9733116,EV_2022_2020,polling,268,32,236,191,27,4,17,0,17,12,175724.95193945197,1.2637095222267667,0,1.0
433,131350501052030,Bogan Park Community Recreation Center,790.7216986681185,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.112885,-83.9699898,EV_2022_2020,polling,1,0,1,0,0,0,0,0,0,1,790.7216986681185,1.326112294581035,0,1.0
442,131350501052031,Bogan Park Community Recreation Center,956.9348672408096,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1085165,-83.9781132,EV_2022_2020,polling,25,12,13,10,0,1,0,0,8,6,23923.37168102024,1.4071721084963122,0,1.0
451,131350501052032,Bogan Park Community Recreation Center,489.29092906941054,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.105554,-83.9734949,EV_2022_2020,polling,10,2,8,1,2,0,0,0,3,4,4892.909290694105,1.1908347609149483,0,1.0
460,131350501052033,Bogan Park Community Recreation Center,760.4356063752249,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.108119,-83.9760249,EV_2022_2020,polling,14,4,10,6,0,0,0,0,4,4,10646.098489253149,1.3118532361156108,0,1.0
469,131350501052036,Bogan Park Community Recreation Center,1716.7983502763698,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1083073,-83.9866246,EV_2022_2020,polling,25,1,24,21,0,0,4,0,0,0,42919.95875690925,1.8456263284363765,0,1.0
478,131350501053003,Bogan Park Community Recreation Center,3494.9367760332125,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1208818,-84.0015924,EV_2022_2020,polling,28,2,26,5,15,1,2,0,0,5,97858.22972892995,3.4817428775197814,0,1.0
487,131350501053004,Bogan Park Community Recreation Center,3478.5518853259064,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1198703,-84.0020259,EV_2022_2020,polling,70,8,62,56,3,0,0,0,5,6,243498.63197281345,3.461438786072242,0,1.0
496,131350501053006,Bogan Park Community Recreation Center,3719.392976522672,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1199647,-84.0048726,EV_2022_2020,polling,4,2,2,2,0,0,0,0,0,2,14877.571906090689,3.772182021261229,0,1.0
568,131350501053018,Bogan Park Community Recreation Center,3739.516884548561,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1181662,-84.006035,EV_2022_2020,polling,6,0,6,3,3,0,0,0,0,0,22437.101307291367,3.7993763568734353,0,1.0
577,131350501053019,Bogan Park Community Recreation Center,3687.9790642634903,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1187005,-84.0051708,EV_2022_2020,polling,3,1,2,2,0,0,0,0,1,0,11063.93719279047,3.7301195567405765,0,1.0
586,131350501053020,Bogan Park Community Recreation Center,3633.804308596342,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1192474,-84.0042449,EV_2022_2020,polling,18,1,17,14,1,0,0,0,0,3,65408.477554734156,3.6586797909485558,0,1.0
595,131350501053021,Bogan Park Community Recreation Center,3544.7969469185264,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1185183,-84.003575,EV_2022_2020,polling,10,0,10,9,0,0,0,0,0,1,35447.969469185264,3.544264991260972,0,1.0
622,131350501053026,Bogan Park Community Recreation Center,3584.6069071107395,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1083399,-84.0070252,EV_2022_2020,polling,28,17,11,7,2,0,0,0,6,13,100368.9933991007,3.59498975531866,0,1.0
631,131350501053027,Bogan Park Community Recreation Center,3487.4994061532648,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1123505,-84.0052781,EV_2022_2020,polling,15,5,10,8,2,0,0,0,5,0,52312.49109229897,3.472511799144736,0,1.0
640,131350501053028,Bogan Park Community Recreation Center,3532.905933965201,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1135584,-84.0054513,EV_2022_2020,polling,24,0,24,18,5,0,0,0,0,1,84789.74241516482,3.5292530661843293,0,1.0
649,131350501053029,Bogan Park Community Recreation Center,3437.0533977966143,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1115359,-84.0049131,EV_2022_2020,polling,11,1,10,6,0,0,0,0,1,4,37807.587375762756,3.410542159829776,0,1.0
685,131350501053033,Bogan Park Community Recreation Center,3701.79830668868,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1164308,-84.0063563,EV_2022_2020,polling,26,11,15,12,1,0,2,0,11,0,96246.75597390567,3.7485650934898858,0,1.0
694,131350501053034,Bogan Park Community Recreation Center,3543.1829601712225,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1167732,-84.0043893,EV_2022_2020,polling,22,9,13,18,0,0,0,0,0,4,77950.0251237669,3.542223658668461,0,1.0
703,131350501053035,Bogan Park Community Recreation Center,3606.296346407297,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1179964,-84.0045599,EV_2022_2020,polling,5,0,5,4,0,0,1,0,0,0,18031.481732036485,3.622930692464843,0,1.0
